,Unnamed: 0,# of alphabetic,# of digits,# of numbers,% constraining,% litigious,% modal moderate,% modal strong,% modal-weak,% negative,% positive,% uncertainty,average word length,avg # of syllables per word,cik,co_conm,co_tic,company name,conformed period of report,date as of change,excess_return,file name,file size,filed as of date,number of words,vocabulary
6,6,473072,10868,3636,0,0,0,0,0,2.561985672055181,5.944232869051107,0,4.791099629817039,0,310158,MERCK & CO,mrk,"MERCK & CO., INC.",20171231,20180227,-0.01949005752912632,../Data/filtered_textdata/2018/QTR1/20180227_10-K_edgar_data_310158_0000310158-18-000005_1.txt,612189,2018-02-27,37549,1262
7,7,829648,15158,5327,0,0,0,0,0,3.746410297526203,5.775594396419772,0,4.827694281257744,0,86312,TRAVELERS COS INC,trv,"TRAVELERS COMPANIES, INC.",20171231,20180215,-0.029639084151335,../Data/filtered_textdata/2018/QTR1/20180215_10-K_edgar_data_86312_0001047469-18-000812_1.txt,1072097,2018-02-15,68599,1386
8,8,371896,8491,2876,0,0,0,0,0,2.204633466947483,5.258509409606631,0,4.95546572457368,0,18230,CATERPILLAR INC,cat,CATERPILLAR INC,20171231,20180215,-0.04303030878731598,../Data/filtered_textdata/2018/QTR1/20180215_10-K_edgar_data_18230_0000018230-18-000042_1.txt,489169,2018-02-15,29438,1080
9,9,709203,12511,4829,0,0,0,0,0,1.89088605590308,5.260907435268035,0,4.815076411434001,0,104169,WALMART INC,wmt,WALMART INC.,20180131,20180330,0.01318481687707692,../Data/filtered_textdata/2018/QTR1/20180330_10-K_edgar_data_104169_0000104169-18-000028_1.txt,926093,2018-03-30,63145,1306
10,10,379634,7806,2629,0,0,0,0,0,2.062047185584247,5.576196668524367,0,4.676450554213883,0,50863,INTEL CORP,intc,INTEL CORP,20171230,20180216,-0.007635697538816658,../Data/filtered_textdata/2018/QTR1/20180216_10-K_edgar_data_50863_0000050863-18-000007_1.txt,498191,2018-02-16,32298,1258
11,11,301299,11352,3663,0,0,0,0,0,2.211223756685559,4.386525105771534,0,4.699169793246587,0,93410,CHEVRON CORP,cvx,CHEVRON CORP,20171231,20180222,0.02040223219104093,../Data/filtered_textdata/2018/QTR1/20180222_10-K_edgar_data_93410_0000093410-18-000010_1.txt,398406,2018-02-22,25054,1062
12,12,885035,18489,6171,0,0,0,0,0,2.206221980709143,5.497894307838608,0,4.843485939410407,0,78003,PFIZER INC,pfe,PFIZER INC,20171231,20180222,0.01633765054008026,../Data/filtered_textdata/2018/QTR1/20180222_10-K_edgar_data_78003_0000078003-18-000027_1.txt,1161002,2018-02-22,73610,1484
13,13,310458,8746,3172,0,0,0,0,0,1.641473783656117,5.247205164541016,0,4.950007872775942,0,34088,EXXON MOBIL CORP,xom,EXXON MOBIL CORP,20171231,20180228,-0.005916344301186918,../Data/filtered_textdata/2018/QTR1/20180228_10-K_edgar_data_34088_0000034088-18-000015_1.txt,405743,2018-02-28,25404,1117
14,14,287827,5530,1916,0,0,0,0,0,1.583463708339259,8.073768548807662,0,4.975157635234438,0,731766,UNITEDHEALTH GROUP INC,unh,UNITEDHEALTH GROUP INC,20171231,20180213,-0.0009159450580212922,../Data/filtered_textdata/2018/QTR1/20180213_10-K_edgar_data_731766_0000731766-18-000005_1.txt,381971,2018-02-13,21093,1127
15,15,516296,11998,4280,0,0,0,0,0,2.001275901991825,5.04453843064055,0,4.594712095078327,0,21344,COCA-COLA CO,ko,COCA COLA CO,20171231,20180223,-0.03168435148921996,../Data/filtered_textdata/2018/QTR1/20180223_10-K_edgar_data_21344_0000021344-18-000008_1.txt,667065,2018-02-23,42323,1206
16,16,279927,7714,2485,0,0,0,0,0,2.548549182925173,5.441129871893531,0,4.834864877099271,0,200406,JOHNSON & JOHNSON,jnj,JOHNSON & JOHNSON,20171231,20180221,0.009983771743992707,../Data/filtered_textdata/2018/QTR1/20180221_10-K_edgar_data_200406_0000200406-18-000005_1.txt,366638,2018-02-21,22091,1043
17,17,1628405,20206,7533,0,0,0,0,0,1.959725708516218,5.133149163523159,0,4.59450154955056,0,886982,GOLDMAN SACHS GROUP INC,gs,GOLDMAN SACHS GROUP INC,20171231,20180223,-0.06494444958004231,../Data/filtered_textdata/2018/QTR1/20180226_10-K_edgar_data_886982_0001193125-18-056383_1.txt,2073356,2018-02-26,142622,1492
18,18,15664,772,198,0,0,0,0,0,0.8453085376162299,3.803888419273034,0,4.924767540152155,0,63908,MCDONALD'S CORP,mcd,MCDONALDS CORP,20171231,20180223,-0.03975328849998683,../Data/filtered_textdata/2018/QTR1/20180223_10-K_edgar_data_63908_0000063908-18-000010_1.txt,21773,2018-02-23,1183,204
19,19,415012,11111,3516,0,0,0,0,0,2.333642095198255,5.291779962350971,0,4.879792033943885,0,66740,3M CO,mmm,3M CO,20171231,20180208,0.02440708778474156,../Data/filtered_textdata/2018/QTR1/20180208_10-K_edgar_data_66740_0001558370-18-000535_1.txt,526696,2018-02-08,33467,1250
20,20,244106,7630,2423,0,0,0,0,0,1.867389747262867,5.12636856645861,0,4.812493604829633,0,12927,BOEING CO,ba,BOEING CO,20171231,20180212,0.02327285176014537,../Data/filtered_textdata/2018/QTR1/20180212_10-K_edgar_data_12927_0000012927-18-000007_1.txt,317786,2018-02-12,19546,914
21,21,501830,13544,4679,0,0,0,0,0,1.575304117676999,4.949865119356645,0,4.802132641115691,0,51143,INTL BUSINESS MACHINES CORP,ibm,INTERNATIONAL BUSINESS MACHINES CORP,20171231,20180227,-0.02613544489800974,../Data/filtered_textdata/2018/QTR1/20180227_10-K_edgar_data_51143_0001047469-18-001117_1.txt,657130,2018-02-27,39294,1192
22,22,496059,11872,3972,0,0,0,0,0,1.553004726536124,5.843059708691039,0,4.717300086813928,0,732712,VERIZON COMMUNICATIONS INC,vz,VERIZON COMMUNICATIONS INC,20171231,20180223,-0.02434433542046728,../Data/filtered_textdata/2018/QTR1/20180223_10-K_edgar_data_732712_0000732712-18-000009_1.txt,641651,2018-02-23,41468,1251
23,23,894595,9714,3679,0,0,0,0,0,1.77162423701057,5.773907002133889,0,4.642313036573867,0,858877,CISCO SYSTEMS INC,csco,"CISCO SYSTEMS, INC.",20180728,20180906,-0.01819097510705009,../Data/filtered_textdata/2018/QTR3/20180906_10-K_edgar_data_858877_0000858877-18-000011_1.txt,1141703,2018-09-06,80604,1254
24,24,291595,5818,2127,0,0,0,0,0,2.037301520625053,6.468957405696044,0,4.827942535495254,0,789019,MICROSOFT CORP,msft,MICROSOFT CORP,20180630,20180803,0.0004421967875113102,../Data/filtered_textdata/2018/QTR3/20180803_10-K_edgar_data_789019_0001564590-18-019062_1.txt,371236,2018-08-03,23806,1128
25,25,287949,6165,2177,0,0,0,0,0,2.533697321276233,5.186828186316329,0,4.81986862310186,0,320187,NIKE INC  -CL B,nke,NIKE INC,20180531,20180724,-0.02856392225141085,../Data/filtered_textdata/2018/QTR3/20180725_10-K_edgar_data_320187_0000320187-18-000142_1.txt,372641,2018-07-25,23444,1097
26,26,386282,5478,2172,0,0,0,0,0,1.492210986608363,4.476632959825089,0,4.52965291063132,0,80424,PROCTER & GAMBLE CO,pg,PROCTER & GAMBLE CO,20180630,20180807,-0.0276396179380296,../Data/filtered_textdata/2018/QTR3/20180807_10-K_edgar_data_80424_0000080424-18-000055_1.txt,509493,2018-08-07,36590,930
27,27,252349,5191,1758,0,0,0,0,0,1.9303875586275,4.991360157985683,0,4.67316711922982,0,320193,APPLE INC,aapl,APPLE INC,20180929,20181105,0.02424885774444724,../Data/filtered_textdata/2018/QTR4/20181105_10-K_edgar_data_320193_0000320193-18-000145_1.txt,323243,2018-11-05,20255,922
28,28,301677,7053,2446,0,0,0,0,0,2.112168973517881,5.464437154972399,0,4.86398911912953,0,1403161,VISA INC,v,VISA INC.,20180930,20181116,-0.05484766079541809,../Data/filtered_textdata/2018/QTR4/20181116_10-K_edgar_data_1403161_0001403161-18-000055_1.txt,389959,2018-11-16,24998,1029
29,29,394517,8592,2894,0,0,0,0,0,2.555602435055151,6.587909107347357,0,4.78153818335242,0,1618921,WALGREENS BOOTS ALLIANCE INC,wba,"WALGREENS BOOTS ALLIANCE, INC.",20180831,20181011,0.06025071166371124,../Data/filtered_textdata/2018/QTR4/20181011_10-K_edgar_data_1618921_0001628280-18-012472_1.txt,508900,2018-10-11,33182,1247
