Date,vwretx,vwindx
20130822,0.009146,1472.38
20130823,0.004169,1478.518
20130826,-0.002864,1474.284
20130827,-0.016518,1449.931
20130828,0.002521,1453.587
20130829,0.003182,1458.212
20130830,-0.004922,1451.035
20130903,0.00443,1457.462
20130904,0.007524,1468.429
20130905,0.001891,1471.205
20130906,0.000745,1472.302
20130909,0.010804,1488.208
20130910,0.007344,1499.138
20130911,0.002598,1503.033
20130912,-0.004172,1496.762
20130913,0.00264,1500.714
20130916,0.005147,1508.437
20130917,0.00509,1516.115
20130918,0.012172,1534.57
20130919,-0.001188,1532.747
20130920,-0.007205,1521.703
20130923,-0.004295,1515.167
20130924,-0.00128,1513.228
20130925,-0.001763,1510.56
20130926,0.003794,1516.29
20130927,-0.003701,1510.679
20130930,-0.004929,1503.232
20131001,0.008807,1516.472
20131002,-0.000921,1515.075
20131003,-0.008791,1501.756
20131004,0.006821,1511.999
20131007,-0.008629,1498.952
20131008,-0.013567,1478.616
20131009,-0.00062,1477.699
20131010,0.021175,1508.989
20131011,0.007071,1519.659
20131014,0.004163,1525.986
20131015,-0.006915,1515.433
20131016,0.012916,1535.007
20131017,0.007682,1546.799
20131018,0.007085,1557.757
20131021,0.000154,1557.997
20131022,0.005404,1566.417
20131023,-0.005244,1558.203
20131024,0.00409,1564.575
20131025,0.003168,1569.531
20131028,0.000343,1570.07
20131029,0.004415,1577.002
